Dataset,Outcome,ArchIdx,Cases,FeasibleRate,SelectedCount,OracleBestCount,SelectedBeneficialCount,SelectedHarmfulCount,MeanGainWhenSelected,MeanLeaveOneOutGain,UniqueRescueCount
AblationPool1000-1019,test,1,80,1.0,2,2,2,0,0.07262107134098889,0.0017220360363898956,2
AblationPool1000-1019,test,6,80,1.0,23,15,15,8,0.13006665853069072,-0.007443612973083133,10
AblationPool1000-1019,test,13,80,1.0,0,2,0,0,0.0,0.0,0
AblationPool1000-1019,test,55,80,1.0,19,28,18,1,0.25248667403241454,0.043811791222928005,16
AblationPool1000-1019,test,56,80,1.0,19,21,17,2,0.24128944451363052,0.024919825695346173,14
AblationPool1000-1019,test,57,80,1.0,17,12,0,0,0.0,0.0,0
C32Final960-979,check,1,80,0.8,2,1,2,0,0.459525744714615,0.0028051842905895434,2
C32Final960-979,check,6,80,0.8,18,19,18,0,0.3687002923260687,0.06918069887302844,17
C32Final960-979,check,13,80,0.8,0,1,0,0,0.0,0.0,0
C32Final960-979,check,55,80,1.0,11,19,9,2,0.18941386716453418,0.021325084031695675,9
C32Final960-979,check,56,80,1.0,12,19,11,1,0.19335973730647815,0.019632948809862945,11
C32Final960-979,check,57,80,1.0,37,21,0,0,0.0,0.0,0
ControlledScale1040-1059,test,1,400,0.7,19,21,14,5,0.06222106704154177,0.0027442063227488185,15
ControlledScale1040-1059,test,6,400,0.7,45,49,34,11,0.11119581322762098,0.011380780876609736,33
ControlledScale1040-1059,test,13,400,0.7,26,29,20,6,0.10154493048645627,0.0019064496980955633,20
ControlledScale1040-1059,test,55,400,1.0,31,82,29,2,0.1226228194399318,0.008170452504570729,27
ControlledScale1040-1059,test,56,400,1.0,37,132,33,4,0.14968129410333306,0.014224674199047042,33
ControlledScale1040-1059,test,57,400,1.0,242,87,0,0,0.0,0.0,0
SourceSeed1060-1079,test,1,240,0.6,17,19,15,2,0.43187300507165116,0.013163095593418724,14
SourceSeed1060-1079,test,6,240,0.6,33,48,32,1,0.32148546954140345,0.051992325175969425,33
SourceSeed1060-1079,test,13,240,0.6,16,5,13,3,0.1298605924524693,-0.0017728219073438129,7
SourceSeed1060-1079,test,55,240,1.0,20,44,20,0,0.20100866641511614,0.011705815511491373,19
SourceSeed1060-1079,test,56,240,1.0,22,63,21,1,0.17902634103352622,0.012294201820008333,19
SourceSeed1060-1079,test,57,240,1.0,132,61,0,0,0.0,0.0,0
AlibabaSemiReal,test,1,80,0.7,1,0,0,1,-3.6030275995678718,-0.001060570398211003,0
AlibabaSemiReal,test,6,80,0.7,3,2,2,1,0.09176160475460571,0.00491580025471102,2
AlibabaSemiReal,test,13,80,0.7,0,0,0,0,0.0,0.0,0
AlibabaSemiReal,test,55,80,1.0,16,16,13,3,0.03210378177172654,0.011273791269632497,13
AlibabaSemiReal,test,56,80,1.0,24,36,24,0,0.18367997280125462,0.05373665761290982,24
AlibabaSemiReal,test,57,80,1.0,36,26,0,0,0.0,0.0,0
MAIN_EVALUATIONLocked980-999,test_selected_only,1,80,,0,,0,0,,,
MAIN_EVALUATIONLocked980-999,test_selected_only,6,80,,9,,9,0,0.3049986776397893,,
MAIN_EVALUATIONLocked980-999,test_selected_only,13,80,,2,,2,0,0.17432505601344395,,
MAIN_EVALUATIONLocked980-999,test_selected_only,55,80,,21,,20,1,0.2766420166955238,,
MAIN_EVALUATIONLocked980-999,test_selected_only,56,80,,15,,13,2,0.1852406048241928,,
MAIN_EVALUATIONLocked980-999,test_selected_only,57,80,,33,,1,3,-5.676438983907496e-08,,
