method,repeat,N_cases,mean_seconds,median_seconds
ours,1,80,5.733297392500001,5.574164899999978
ours,2,80,5.633985435000011,5.513755350000338
ours,3,80,5.723679257499976,5.557195649999812
ours,4,80,5.693229353750121,5.508414800000537
ours,5,80,5.596352608749998,5.448710499999834
pt_ft,1,80,0.2093373387500023,0.211565050000047
pt_ft,2,80,0.20410230750003394,0.20511400000009417
pt_ft,3,80,0.20481868374993156,0.20500730000003387
pt_ft,4,80,0.20151251749994117,0.2031515999997282
pt_ft,5,80,0.19970174374993804,0.19543660000090313
medet_style,1,80,0.2045391199999969,0.20517045000002554
medet_style,2,80,0.1987443349999694,0.200849000000062
medet_style,3,80,0.20804936250010542,0.20921010000029128
medet_style,4,80,0.2020532700000331,0.20340379999925062
medet_style,5,80,0.20700353624988566,0.20783979999941948
scratch50,1,80,0.20050504375000172,0.20216929999998
scratch50,2,80,0.18223149249998868,0.18070665000004738
scratch50,3,80,0.20162923249994263,0.20193865000010192
scratch50,4,80,0.19953662000004896,0.20110609999937878
scratch50,5,80,0.20545773375019963,0.2068529000007402
meta_nas_lite,1,80,13.406204806250013,12.607083750000015
meta_nas_lite,2,80,13.366408766250009,12.600619349999988
meta_nas_lite,3,80,13.442744852500017,12.457415150000088
meta_nas_lite,4,80,13.775390448750068,12.718146649999653
meta_nas_lite,5,80,13.363903783749924,12.369117350000124
zero_nas,1,80,0.957403906250002,0.8385542500000156
zero_nas,2,80,0.9665008662500327,0.8341175000005023
zero_nas,3,80,0.9792532925000046,0.8378955499997573
zero_nas,4,80,0.9764820524997958,0.8262992499994652
zero_nas,5,80,0.9798143274999347,0.8592464499997732
zero_nas_ft,1,80,17.60552888999998,19.384838899999977
zero_nas_ft,2,80,17.621124563750016,18.96133374999954
zero_nas_ft,3,80,17.83281857999999,19.158092699999997
zero_nas_ft,4,80,17.440943891249937,18.86101729999973
zero_nas_ft,5,80,17.502103359999932,18.68877705000068
